Employee_Name,EmpID,EmpStatusID,DeptID,PerfScoreID,PayRate,PositionID,Position,State,Zip,DOB,Gender,MaritalDesc,CitizenDesc,TermReason,EmploymentStatus,Department,ManagerName,ManagerID,RecruitmentSource,PerformanceScore,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,DaysLateLast30
"McKinzie, Jac",1209049326,2,6,3,55,3,Area Sales Manager,TX,78789,07-01-1984,M ,Married,US Citizen,N/A - Has not started yet,Future Start,Sales,Lynn Daneault,21,Website Banner Ads,Fully Meets,2.91,4,0,0
"Nguyen, Dheepa",1111030684,1,6,3,55,3,Area Sales Manager,GA,30428,03/31/89,F,Single,US Citizen,N/A - still employed,Active,Sales,Lynn Daneault,21,,Fully Meets,,5,0,0
"Onque, Jasmine",1501072180,1,6,3,57,3,Area Sales Manager,FL,33174,05-11-1990,F,Single,US Citizen,N/A - still employed,Active,Sales,Lynn Daneault,21,Pay Per Click - Google,Fully Meets,4.28,3,0,0
"Potts, Xana",1102024106,1,6,3,,3,Area Sales Manager,KY,40220,08/29/88,,Married,US Citizen,N/A - still employed,Active,Sales,Lynn Daneault,21,Website Banner Ads,Fully Meets,4.2,5,0,0
"Riordan, Michael",1502072711,1,6,4,55,3,Area Sales Manager,ND,58782,01/15/68,M ,Separated,,N/A - still employed,Active,Sales,Lynn Daneault,21,Billboard,Exceeds,4.1,3,0,0
"Terry, Sharlene ",1401064637,1,6,3,55,3,Area Sales Manager,OR,97756,05-07-1965,F,Single,US Citizen,N/A - still employed,Active,Sales,Lynn Daneault,21,Monster.com,Fully Meets,3.69,3,0,0
"Rachael, Maggie",1009919940,1,3,3,45,4,BI Developer,MA,2110,05-12-1980,F,Married,US Citizen,N/A - still employed,Active,IT/IS,Brian Champaigne,13,Indeed,Fully Meets,2.02,,6,0
"Smith, Jason",1009919980,1,3,3,46,4,BI Developer,MA,2045,09-04-1983,M ,Single,US Citizen,N/A - still employed,Active,IT/IS,Brian Champaigne,13,Indeed,Fully Meets,3.01,5,7,0
"Westinghouse, Matthew",1009919990,1,3,3,45,4,BI Developer,MA,2134,10/24/87,M ,Married,US Citizen,N/A - still employed,Active,IT/IS,Brian Champaigne,13,Indeed,Fully Meets,1.82,3,6,0
"Hubert, Robert",1009920000,1,3,3,45,4,BI Developer,MA,2134,06/30/89,M ,Married,US Citizen,N/A - still employed,Active,IT/IS,Brian Champaigne,13,Indeed,Fully Meets,2.06,5,5,0
"Champaigne, Brian",1009919920,1,3,3,,5,BI Director,MA,2045,02-09-1972,M ,Married,US Citizen,N/A - still employed,Active,IT/IS,Jennifer Zamora,5,Professional Society,Fully Meets,4.5,5,7,0
"Zamora, Jennifer",1112030816,1,3,4,65,6,CIO,MA,2067,08/30/79,F,Single,US Citizen,N/A - still employed,Active,IT/IS,Janet King,2,Employee Referral,Exceeds,,,6,4
"Roper, Katie",1009919950,1,3,3,55,7,Data Architect,MA,2056,11/21/72,F,Single,US Citizen,N/A - still employed,Active,IT/IS,Brian Champaigne,13,Indeed,Fully Meets,4.94,3,5,0
"Becker, Renee",1102024056,4,3,3,43,8,Database Administrator,MA,2026,04-04-1986,F,Single,,performance,Terminated for Cause,IT/IS,Simon Roup,4,,Fully Meets,1.87,4,5,
"Goble, Taisha",905013738,4,3,3,48.5,8,Database Administrator,MA,2127,10/23/71,,Single,US Citizen,"no-call, no-show",Terminated for Cause,IT/IS,Simon Roup,4,Glassdoor,Fully Meets,1.87,4,4,
"Hernandez, Daniff",1410071156,4,3,3,40.1,8,Database Administrator,MA,1960,08-07-1986,M ,Married,US Citizen,"no-call, no-show",Terminated for Cause,IT/IS,Simon Roup,4,Employee Referral,Fully Meets,4.33,,7,
"Horton, Jayne",1105025718,1,3,3,,8,Database Administrator,MA,2493,02/21/84,F,Single,US Citizen,N/A - still employed,Active,IT/IS,Simon Roup,4,Glassdoor,Fully Meets,4.48,5,6,0
"Johnson, Noelle ",1003018246,3,3,3,40,8,Database Administrator,MA,2301,11-07-1986,F,Married,US Citizen,N/A - still employed,Leave of Absence,IT/IS,Simon Roup,4,Glassdoor,Fully Meets,3.75,3,5,0
"Murray, Thomas",1406068403,1,3,4,35.5,9,Data Analyst,TX,78230,07-04-1988,M ,Divorced,US Citizen,N/A - still employed,Active,IT/IS,Simon Roup,4,Diversity Job Fair,Exceeds,4.28,,5,0
"Pearson, Randall",1102023965,5,3,3,41,9,Data Analyst,MA,2747,09-05-1984,M ,Married,US Citizen,performance,Voluntarily Terminated,IT/IS,Simon Roup,4,Employee Referral,Fully Meets,,4,5,
"Petrowsky, Thelma",1108027853,1,3,4,42.75,9,Data Analyst,MA,1886,09/16/84,F,Married,US Citizen,N/A - still employed,Active,IT/IS,Simon Roup,4,Employee Referral,Exceeds,3.71,5,7,0
"Roby, Lori ",1407068885,1,3,3,39.55,9,Data Analyst,MA,1886,10-11-1981,F,Married,US Citizen,N/A - still employed,Active,IT/IS,Simon Roup,4,Employee Referral,Fully Meets,3.69,5,6,3
"Rogers, Ivan",1203032255,1,3,3,,9,Data Analyst,MA,1810,08/26/86,M ,Married,,N/A - still employed,Active,IT/IS,Simon Roup,4,Pay Per Click - Google,Fully Meets,3.04,3,6,0
"Salter, Jason",1111030148,5,3,3,45,9,Data Analyst ,MA,2452,12/17/87,M ,Divorced,US Citizen,hours,Voluntarily Terminated,IT/IS,Simon Roup,4,,Fully Meets,2.19,3,5,
"Simard, Kramer",808010278,1,3,3,30.2,9,Data Analyst,MA,2110,02-08-1970,M ,Married,US Citizen,N/A - still employed,Active,IT/IS,Simon Roup,4,Employee Referral,Fully Meets,3.32,3,7,0
"Zhou, Julia",1110029732,1,3,3,31.4,9,Data Analyst,MA,2148,02/24/79,F,Single,US Citizen,N/A - still employed,Active,IT/IS,Simon Roup,4,Employee Referral,Fully Meets,5,3,5,0
"Bramante, Elisa",1006020066,1,5,4,,10,Director of Operations,MA,2030,03/19/83,,Single,US Citizen,N/A - still employed,Active,Production       ,Janet King,2,Other,Exceeds,3.02,,0,0
"Houlihan, Debra",1009021646,1,6,3,,11,Director of Sales,RI,2908,03/17/66,F,Married,US Citizen,N/A - still employed,Active,Sales,Janet King,2,MBTA ads,Fully Meets,1.22,4,0,0
"Foss, Jason",1192991000,1,3,4,,12,IT Director,MA,1460,07-05-1980,M ,Single,US Citizen,N/A - still employed,Active,IT/IS,Jennifer Zamora,5,Professional Society,Exceeds,3.76,5,5,0
"Roup,Simon",1106026933,1,3,3,62,13,IT Manager - DB,MA,2481,04-05-1973,M ,Single,US Citizen,N/A - still employed,Active,IT/IS,Jennifer Zamora,5,Professional Society,Fully Meets,2.96,5,7,5
"Ruiz, Ricardo",1001175250,5,3,3,21,13,IT Manager - DB,MA,1915,01-04-1964,M ,Divorced,US Citizen,hours,Voluntarily Terminated,IT/IS,Jennifer Zamora,5,Diversity Job Fair,Fully Meets,,4,6,
"Monroe, Peter",1011022863,1,3,2,63,13,IT Manager - Infra,MA,2134,10-05-1986,M ,Married,Eligible NonCitizen,N/A - still employed,Active,IT/IS,Jennifer Zamora,5,Diversity Job Fair,Needs Improvement,2.39,3,6,0
"Dougall, Eric",1101023754,1,3,4,64,13,IT Manager - Support,MA,1886,07-09-1970,M ,Single,,N/A - still employed,Active,IT/IS,Jennifer Zamora,5,Professional Society,Exceeds,1.99,,5,0
"Clayton, Rick",1301052902,1,3,3,28.99,14,IT Support,MA,2170,09-05-1985,M ,Single,,N/A - still employed,Active,IT/IS,Eric Dougall,6,Glassdoor,Fully Meets,2.55,3,6,0
"Galia, Lisa",1501072093,1,3,3,31.4,14,IT Support,CT,6040,07-06-1968,,Single,US Citizen,N/A - still employed,Active,IT/IS,Eric Dougall,6,Vendor Referral,Fully Meets,1.21,4,5,0
"Lindsay, Leonara ",602000312,1,3,4,26,14,IT Support,CT,6070,10-05-1988,F,Single,US Citizen,N/A - still employed,Active,IT/IS,Eric Dougall,6,Diversity Job Fair,Exceeds,4.64,4,5,0
"Soto, Julia ",1203032263,1,3,3,,14,IT Support,MA,2360,03-12-1973,F,Married,US Citizen,N/A - still employed,Active,IT/IS,Eric Dougall,6,,Fully Meets,4.3,3,5,0
"Bacong, Alejandro ",1212052023,1,3,3,45,14,IT Support,MA,1886,01-07-1988,M ,Divorced,US Citizen,N/A - still employed,Active,IT/IS,Peter Monroe,7,Glassdoor,Fully Meets,1.84,5,6,0
"Cisco, Anthony",1102024173,1,3,3,42,14,IT Support,MA,2135,11/24/89,M ,Married,US Citizen,N/A - still employed,Active,IT/IS,Peter Monroe,7,Information Session,Fully Meets,2.21,5,7,0
"Dolan, Linda",1101023540,1,3,3,37,14,IT Support,MA,2119,07/18/88,F,Married,US Citizen,N/A - still employed,Active,IT/IS,Peter Monroe,7,Employee Referral,Fully Meets,4.11,4,6,0
"Gonzalez, Maria",1988299991,1,3,3,39,14,IT Support,MA,2472,04/16/81,F,Separated,US Citizen,N/A - still employed,Active,IT/IS,Peter Monroe,7,Employee Referral,Fully Meets,4.61,4,5,6
"Merlos, Carlos",1012023013,1,3,1,43,15,Network Engineer,MA,2138,06/18/87,,Single,,N/A - still employed,Active,IT/IS,Peter Monroe,7,Vendor Referral,PIP,,3,6,0
"Morway, Tanya",1001956578,1,3,3,27,15,Network Engineer,MA,2048,04-04-1979,F,Married,US Citizen,N/A - still employed,Active,IT/IS,Peter Monroe,7,Monster.com,Fully Meets,3.81,3,6,0
"Shepard, Anita ",906014183,1,3,3,,15,Network Engineer,MA,1773,04/14/81,F,Married,US Citizen,N/A - still employed,Active,IT/IS,Peter Monroe,7,Vendor Referral,Fully Meets,3.31,,6,0
"Tredinnick, Neville ",1104025466,5,3,3,28,15,Network Engineer,MA,1420,05-05-1988,M ,Married,US Citizen,medical issues,Voluntarily Terminated,IT/IS,Peter Monroe,7,Monster.com,Fully Meets,5,3,5,
"Turpin, Jumil",1411071506,1,3,3,49.1,15,Network Engineer,MA,2343,03/31/69,M ,Married,Eligible NonCitizen,N/A - still employed,Active,IT/IS,Peter Monroe,7,Employee Referral,Fully Meets,5,4,7,0
"King, Janet",1001495124,1,2,3,80,16,President & CEO,MA,1902,09/21/54,,Married,US Citizen,N/A - still employed,Active,Executive Office,Board of Directors,9,Pay Per Click - Google,Fully Meets,4.83,3,0,0
"Albert, Michael  ",1501072311,1,5,3,54.5,17,Production Manager,MA,2169,10-10-1968,M ,Divorced,US Citizen,N/A - still employed,Active,Production       ,Janet King,2,,Fully Meets,3.93,3,0,0
"Bozzi, Charles",1303054580,5,5,3,,18,Production Manager,MA,1901,03-10-1970,M ,Single,US Citizen,retiring,Voluntarily Terminated,Production       ,Janet King,2,Billboard,Fully Meets,3.39,3,0,
"Butler, Webster  L",1110029990,1,5,4,55,18,Production Manager,MA,2169,08-09-1983,M ,Single,US Citizen,N/A - still employed,Active,Production       ,Janet King,2,Pay Per Click - Google,Exceeds,5,3,0,0
"Dunn, Amy  ",1409070147,1,5,3,51,18,Production Manager,MA,1731,11/28/73,F,Single,US Citizen,N/A - still employed,Active,Production       ,Janet King,2,Search Engine - Google Bing Yahoo,Fully Meets,4.52,4,0,0
"Gray, Elijiah  ",1307060077,1,5,3,54,18,Production Manager,MA,1752,07-11-1981,M ,Divorced,US Citizen,N/A - still employed,Active,Production       ,Janet King,2,Employee Referral,Fully Meets,4.63,3,0,3
"Hogland, Jonathan ",1001944783,4,5,3,48.5,18,Production Manager,MA,1890,07-01-1972,M ,Married,,attendance,Terminated for Cause,Production       ,Janet King,2,Employee Referral,Fully Meets,4.78,,0,
"Immediato, Walter",1403065874,5,5,2,42,18,Production Manager,MA,2128,11/15/76,M ,Married,US Citizen,unhappy,Voluntarily Terminated,Production       ,Janet King,2,Other,Needs Improvement,,2,0,
"Liebig, Ketsia",1103024679,1,5,4,55,18,Production Manager,MA,2110,10/26/81,F,Married,US Citizen,N/A - still employed,Active,Production       ,Janet King,2,Website Banner Ads,Exceeds,3.66,3,0,0
"Miller, Brannon",1107027351,1,5,3,,18,Production Manager,MA,2045,08-10-1981,,Single,,N/A - still employed,Active,Production       ,Janet King,2,Internet Search,Fully Meets,4.37,3,0,0
"Peterson, Ebonee  ",1402065355,5,5,3,38.5,18,Production Manager,MA,2030,05-09-1977,F,Married,US Citizen,Another position,Voluntarily Terminated,Production       ,Janet King,2,,Fully Meets,4.16,5,0,
"Spirea, Kelley",1102024149,1,5,3,52,18,Production Manager,MA,2451,09/30/75,F,Married,US Citizen,N/A - still employed,Active,Production       ,Janet King,2,Vendor Referral,Fully Meets,4.83,5,0,0
"Stanley, David ",1000974650,1,5,2,53,18,Production Manager,MA,1803,12/17/75,M ,Divorced,US Citizen,N/A - still employed,Active,Production       ,Janet King,2,Monster.com,Needs Improvement,4.13,2,0,0
"Sullivan, Kissy ",1405067298,1,5,3,55,18,Production Manager,MA,1776,03/28/78,F,Married,US Citizen,N/A - still employed,Active,Production       ,Janet King,2,Billboard,Fully Meets,3.73,4,0,0
"Wallace, Courtney  E",1410071026,5,5,3,,18,Production Manager,MA,2478,11/14/55,F,Married,US Citizen,Another position,Voluntarily Terminated,Production       ,Janet King,2,Diversity Job Fair,Fully Meets,1.18,3,0,
"Anderson, Linda  ",1304055947,1,5,4,23,19,Production Technician I,MA,1844,05/22/77,F,Single,US Citizen,N/A - still employed,Active,Production       ,Amy Dunn,11,MBTA ads,Exceeds,5,5,0,0
"Bernstein, Sean",1109029366,1,5,3,,19,Production Technician I,MA,2072,12/22/70,,Single,US Citizen,N/A - still employed,Active,Production       ,Amy Dunn,11,Word of Mouth,Fully Meets,5,,0,1
"Chivukula, Enola",1101023394,5,5,3,21,19,Production Technician I,MA,1775,08/27/83,F,Single,,relocation out of area,Voluntarily Terminated,Production       ,Amy Dunn,11,Other,Fully Meets,2,4,0,
"Desimone, Carl ",1501072124,1,5,1,20,19,Production Technician I,MA,2061,04/19/67,M ,Married,US Citizen,N/A - still employed,Active,Production       ,Amy Dunn,11,Professional Society,PIP,1.12,2,0,0
"Fernandes, Nilson  ",1302053339,1,5,1,18,19,Production Technician I,MA,2132,10/18/89,M ,Married,US Citizen,N/A - still employed,Active,Production       ,Amy Dunn,11,Professional Society,PIP,1.56,5,0,0
"Girifalco, Evelyn",1204032927,1,5,4,16,19,Production Technician I,MA,2451,05-08-1980,F,Single,,N/A - still employed,Active,Production       ,Amy Dunn,11,Professional Society,Exceeds,3.39,4,0,0
"Harrison, Kara",1404066622,1,5,4,20,19,Production Technician I,MA,1886,05-02-1974,F,Married,US Citizen,N/A - still employed,Active,Production       ,Amy Dunn,11,Monster.com,Exceeds,4.76,4,0,0
"Kirill, Alexandra  ",903013071,5,5,3,24,19,Production Technician I,MA,2127,10-08-1970,F,Married,US Citizen,more money,Voluntarily Terminated,Production       ,Amy Dunn,11,Search Engine - Google Bing Yahoo,Fully Meets,,,0,
"MacLennan, Samuel",1201031032,5,5,3,15,19,Production Technician I,MA,1938,11-09-1972,M ,Widowed,US Citizen,hours,Voluntarily Terminated,Production       ,Amy Dunn,11,,Fully Meets,3.08,4,0,
"Ndzi, Horia",1204033044,5,5,3,22,19,Production Technician I,MA,2421,03/28/83,,Married,US Citizen,more money,Voluntarily Terminated,Production       ,Amy Dunn,11,Employee Referral,Fully Meets,3.18,3,0,
"Perry, Shakira",1109029186,5,5,3,22,19,Production Technician I,MA,2176,07/20/86,F,Single,US Citizen,medical issues,Voluntarily Terminated,Production       ,Amy Dunn,11,MBTA ads,Fully Meets,3.45,4,0,9
"Robinson, Alain  ",1206038000,5,5,3,,19,Production Technician I,MA,1420,01-07-1974,M ,Married,US Citizen,attendance,Voluntarily Terminated,Production       ,Amy Dunn,11,Glassdoor,Fully Meets,5,3,0,
"Shields, Seffi",1205033102,1,5,3,,19,Production Technician I,MA,2149,08/24/85,F,Married,US Citizen,N/A - still employed,Active,Production       ,Amy Dunn,11,Newspager/Magazine,Fully Meets,4.81,4,0,0
"Theamstern, Sophia",1404066739,5,5,3,20,19,Production Technician I,MA,2066,05-09-1965,F,Single,US Citizen,return to school,Voluntarily Terminated,Production       ,Amy Dunn,11,Billboard,Fully Meets,3.98,4,0,
"Wilber, Barry",1101023839,5,5,3,21,19,Production Technician I,MA,2324,09-09-1965,M ,Married,,unhappy,Voluntarily Terminated,Production       ,Amy Dunn,11,Website Banner Ads,Fully Meets,5,3,0,
"Bachiochi, Linda",1212051409,3,5,3,22,19,Production Technician I,MA,1902,02-11-1970,F,Single,US Citizen,N/A - still employed,Leave of Absence,Production       ,Brannon Miller,12,Diversity Job Fair,Fully Meets,4.46,,0,0
"Billis, Helen",1308060366,1,5,4,16,19,Production Technician I,MA,2031,09-01-1989,F,Married,,N/A - still employed,Active,Production       ,Brannon Miller,12,Professional Society,Exceeds,5,3,0,0
"Clukey, Elijian",1407069280,2,5,4,24.75,19,Production Technician I,MA,2134,08/26/80,M ,Married,US Citizen,N/A - Has not started yet,Future Start,Production       ,Brannon Miller,12,Employee Referral,Exceeds,1.97,4,0,0
"DiNocco, Lily ",1209048696,1,5,2,22,19,Production Technician I,MA,2351,12-02-1978,,Married,US Citizen,N/A - still employed,Active,Production       ,Brannon Miller,12,Pay Per Click - Google,Needs Improvement,3.88,4,0,0
"Fidelia,  Libby",1006020020,1,5,3,,19,Production Technician I,MA,2155,03/16/81,F,Married,US Citizen,N/A - still employed,Active,Production       ,Brannon Miller,12,,Fully Meets,5,5,0,0
"Gonzalez, Cayo",1411071212,1,5,4,16,19,Production Technician I,MA,2108,09/29/69,M ,Divorced,US Citizen,N/A - still employed,Active,Production       ,Brannon Miller,12,Diversity Job Fair,Exceeds,,4,0,0
"Ivey, Rose ",1408069882,1,5,3,16,19,Production Technician I,MA,1775,01/28/91,F,Single,US Citizen,N/A - still employed,Active,Production       ,Brannon Miller,12,Professional Society,Fully Meets,3.99,3,0,2
"Kretschmer, John",1311062610,1,5,3,21,19,Production Technician I,MA,1801,02-02-1980,M ,Married,US Citizen,N/A - still employed,Active,Production       ,Brannon Miller,12,Pay Per Click - Google,Fully Meets,3.38,3,0,3
"Mangal, Debbie",1308060754,1,5,3,23,19,Production Technician I,MA,2451,11-07-1974,F,Married,US Citizen,N/A - still employed,Active,Production       ,Brannon Miller,12,On-campus Recruiting,Fully Meets,1.04,3,0,4
"Ngodup, Shari ",1403066020,1,5,4,15,19,Production Technician I,MA,1810,06-03-1967,F,Separated,US Citizen,N/A - still employed,Active,Production       ,Brannon Miller,12,Diversity Job Fair,Exceeds,1.12,,0,0
"Pham, Hong",1305057440,5,5,3,18,19,Production Technician I,MA,2451,03-06-1988,M ,Married,US Citizen,more money,Voluntarily Terminated,Production       ,Brannon Miller,12,Search Engine - Google Bing Yahoo,Fully Meets,5,3,0,
"Robinson, Elias",1011022887,1,5,4,17,19,Production Technician I,MA,1730,01/28/85,M ,Widowed,US Citizen,N/A - still employed,Active,Production       ,Brannon Miller,12,Employee Referral,Exceeds,3.02,5,0,0
"Sparks, Taylor  ",1410071137,1,5,1,16,19,Production Technician I,MA,2093,07/20/68,F,Married,US Citizen,N/A - still employed,Active,Production       ,Brannon Miller,12,Billboard,PIP,4.11,2,0,0
"Tippett, Jeanette",1409070255,1,5,3,24,19,Production Technician I,MA,2093,06-05-1967,,Divorced,US Citizen,N/A - still employed,Active,Production       ,Brannon Miller,12,Billboard,Fully Meets,4.21,5,0,0
"Ybarra, Catherine ",1001268402,5,5,1,22,19,Production Technician I,MA,2458,05-04-1982,F,Single,,Another position,Voluntarily Terminated,Production       ,Brannon Miller,12,Search Engine - Google Bing Yahoo,PIP,4.29,2,0,
"Baczenski, Rachael  ",1307060083,5,5,3,17,19,Production Technician I,MA,1902,01-12-1974,F,Married,,Another position,Voluntarily Terminated,Production       ,David Stanley,14,Diversity Job Fair,Fully Meets,,4,0,
"Brill, Donna",1406068293,5,5,3,,19,Production Technician I,MA,1701,08/24/90,F,Married,US Citizen,Another position,Voluntarily Terminated,Production       ,David Stanley,14,Search Engine - Google Bing Yahoo,Fully Meets,3.35,4,0,6
"Cockel, James",1599991009,1,5,3,15,19,Production Technician I,MA,2452,09-08-1977,M ,Single,US Citizen,N/A - still employed,Active,Production       ,David Stanley,14,Employee Referral,Fully Meets,1.51,,0,5
"Dobrin, Denisa  S",1202031618,1,5,3,16.75,19,Production Technician I,MA,2125,10-07-1986,F,Single,US Citizen,N/A - still employed,Active,Production       ,David Stanley,14,Monster.com,Fully Meets,2.79,5,0,0
"Garcia, Raul",1309061015,1,5,3,19,19,Production Technician I,MA,1905,09/15/85,M ,Single,US Citizen,N/A - still employed,Active,Production       ,David Stanley,14,Employee Referral,Fully Meets,4.5,3,0,0
"Gordon, David",1106026579,1,5,3,15,19,Production Technician I,MA,2169,05/21/79,M ,Married,US Citizen,N/A - still employed,Active,Production       ,David Stanley,14,,Fully Meets,5,3,0,0
"Jackson, Maryellen",1201031438,1,5,3,20,19,Production Technician I,MA,2081,09-11-1972,F,Single,US Citizen,N/A - still employed,Active,Production       ,David Stanley,14,Newspager/Magazine,Fully Meets,2.32,3,0,0
"Langton, Enrico",1304055987,1,5,3,17,19,Production Technician I,MA,2048,12-09-1986,M ,Married,US Citizen,N/A - still employed,Active,Production       ,David Stanley,14,Newspager/Magazine,Fully Meets,5,5,0,0
"Maurice, Shana",1401064327,1,5,3,20,19,Production Technician I,MA,2330,11/22/77,F,Married,US Citizen,N/A - still employed,Active,Production       ,David Stanley,14,Other,Fully Meets,5,,0,0
"Nguyen, Lei-Ming",1203032357,1,5,3,19,19,Production Technician I,MA,2132,07-07-1984,F,Single,US Citizen,N/A - still employed,Active,Production       ,David Stanley,14,Vendor Referral,Fully Meets,2.79,5,0,0
